student_id,age,math_score,science_score,english_score,city,gender,grade,study_hours,Average_Score,Total_Score,Result,Result_encoded
1,21.0,96.0,49.0,48.0,Lalitpur,Other,A,5.0,64.33333333333333,193.0,pass,1
2,18.0,59.0,28.0,63.0,Bhaktapur,Female,C,1.0,50.0,150.0,pass,1
3,22.0,42.0,56.0,31.0,Kathmandu,Female,B,3.0,43.0,129.0,pass,1
4,19.0,75.0,38.0,6.0,Lalitpur,Other,A,6.0,39.666666666666664,119.0,fail,0
5,21.0,99.0,94.0,20.0,Biratnagar,Other,C,7.0,71.0,213.0,pass,1
6,24.0,67.0,55.0,19.0,Biratnagar,Male,A,2.0,47.0,141.0,pass,1
7,17.0,4.0,42.0,25.0,Kathmandu,Other,A,8.0,23.666666666666668,71.0,fail,0
8,21.0,36.0,49.0,67.0,Kathmandu,Other,B,1.0,50.666666666666664,152.0,pass,1
9,22.0,71.0,22.0,85.0,Lalitpur,Other,A,7.0,59.333333333333336,178.0,pass,1
10,19.0,91.0,43.0,14.0,Pokhara,Male,D,7.0,49.333333333333336,148.0,pass,1
11,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
12,22.0,8.0,83.0,78.0,Pokhara,Other,D,0.0,56.333333333333336,169.0,pass,1
13,22.0,50.0,22.0,85.0,Bhaktapur,Male,A,0.0,52.333333333333336,157.0,pass,1
14,17.0,28.0,44.0,91.0,Biratnagar,Other,D,1.0,54.333333333333336,163.0,pass,1
15,20.0,77.0,51.0,13.0,Pokhara,Other,C,8.0,47.0,141.0,pass,1
16,19.0,39.0,79.0,26.0,Biratnagar,Male,A,1.0,48.0,144.0,pass,1
17,16.0,40.0,49.0,39.0,Pokhara,Female,C,1.0,42.666666666666664,128.0,pass,1
18,22.0,85.0,7.0,57.0,Bhaktapur,Male,D,5.0,49.666666666666664,149.0,pass,1
19,20.0,10.0,84.0,27.0,Kathmandu,Other,C,6.0,40.333333333333336,121.0,pass,1
20,16.0,22.0,0.0,25.0,Bhaktapur,Other,A,6.0,15.666666666666666,47.0,fail,0
21,19.0,0.0,7.0,62.0,Kathmandu,Other,C,8.0,23.0,69.0,fail,0
22,15.0,45.0,28.0,65.0,Kathmandu,Male,D,5.0,46.0,138.0,pass,1
23,24.0,20.0,95.0,24.0,Biratnagar,Other,D,7.0,46.333333333333336,139.0,pass,1
24,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
