student_id,age,math_score,science_score,english_score,city,gender,grade,study_hours
1,21.0,96.0,49.0,48.0,Lalitpur,Other,A,5.0
2,18.0,59.0,28.0,63.0,Bhaktapur,Female,C,1.0
3,22.0,42.0,56.0,31.0,Kathmandu,Female,B,3.0
4,19.0,75.0,38.0,6.0,Lalitpur,Other,A,6.0
5,21.0,99.0,94.0,20.0,Biratnagar,Other,C,7.0
6,24.0,67.0,55.0,19.0,Biratnagar,Male,A,2.0
7,17.0,4.0,42.0,25.0,Kathmandu,Other,A,8.0
8,21.0,36.0,49.0,67.0,Kathmandu,Other,B,1.0
9,22.0,71.0,22.0,85.0,Lalitpur,Other,A,7.0
10,19.0,91.0,43.0,14.0,Pokhara,Male,D,7.0
11,,,,,,,B,
12,22.0,8.0,83.0,78.0,Pokhara,Other,D,0.0
13,22.0,50.0,22.0,85.0,Bhaktapur,Male,A,0.0
14,17.0,28.0,44.0,91.0,Biratnagar,Other,D,1.0
15,20.0,77.0,51.0,13.0,Pokhara,Other,C,8.0
16,19.0,39.0,79.0,26.0,Biratnagar,Male,A,1.0
17,16.0,40.0,49.0,39.0,Pokhara,Female,C,1.0
18,22.0,85.0,7.0,57.0,Bhaktapur,Male,D,5.0
19,20.0,10.0,84.0,27.0,Kathmandu,Other,C,6.0
20,16.0,22.0,0.0,25.0,Bhaktapur,Other,A,6.0
21,19.0,0.0,7.0,62.0,Kathmandu,Other,C,8.0
22,15.0,45.0,28.0,65.0,Kathmandu,Male,D,5.0
23,24.0,20.0,95.0,24.0,Biratnagar,Other,D,7.0
24,,,,,,,D,
25,23.0,35.0,85.0,71.0,Pokhara,Male,A,1.0
26,15.0,53.0,46.0,43.0,Bhaktapur,Female,D,0.0
27,24.0,86.0,33.0,96.0,Biratnagar,Female,A,4.0
28,17.0,56.0,64.0,41.0,Kathmandu,Other,C,8.0
29,21.0,0.0,54.0,98.0,Biratnagar,Male,D,7.0
30,18.0,62.0,89.0,5.0,Lalitpur,Other,C,3.0
31,,,,,,,B,
32,17.0,54.0,73.0,51.0,Pokhara,Male,C,4.0
33,19.0,39.0,29.0,22.0,Biratnagar,Female,B,5.0
34,17.0,14.0,81.0,88.0,Pokhara,Female,C,2.0
35,21.0,20.0,16.0,49.0,Pokhara,Male,A,4.0
36,19.0,46.0,25.0,42.0,Lalitpur,Other,C,1.0
37,23.0,72.0,7.0,18.0,Pokhara,Female,A,9.0
38,21.0,52.0,46.0,68.0,Lalitpur,Other,A,0.0
39,16.0,8.0,75.0,50.0,Kathmandu,Female,D,0.0
40,,,,,,,A,
41,23.0,51.0,71.0,11.0,Pokhara,Other,B,6.0
42,16.0,56.0,88.0,73.0,Lalitpur,Female,D,1.0
43,24.0,25.0,45.0,7.0,Bhaktapur,Female,D,3.0
44,23.0,40.0,67.0,23.0,Pokhara,Other,C,4.0
45,24.0,34.0,32.0,91.0,Kathmandu,Female,A,6.0
46,19.0,62.0,0.0,40.0,Kathmandu,Female,A,1.0
47,16.0,24.0,18.0,35.0,Bhaktapur,Female,B,5.0
48,18.0,89.0,30.0,84.0,Lalitpur,Other,C,0.0
49,21.0,74.0,79.0,71.0,Pokhara,Male,C,6.0
50,22.0,37.0,13.0,54.0,Lalitpur,Other,D,8.0
51,17.0,1.0,52.0,8.0,Kathmandu,Male,D,4.0
52,15.0,6.0,47.0,46.0,Lalitpur,Female,D,4.0
53,18.0,81.0,68.0,14.0,Kathmandu,Male,B,3.0
54,16.0,90.0,89.0,47.0,Lalitpur,Other,B,2.0
55,,,,,,,D,
56,18.0,90.0,91.0,41.0,Biratnagar,Female,C,4.0
57,16.0,16.0,65.0,59.0,Bhaktapur,Male,B,7.0
58,20.0,42.0,63.0,83.0,Bhaktapur,Female,C,8.0
59,20.0,58.0,69.0,69.0,Biratnagar,Female,C,4.0
60,,,,,,,A,
61,18.0,53.0,72.0,1.0,Pokhara,Male,D,8.0
62,20.0,23.0,32.0,6.0,Pokhara,Male,A,1.0
63,16.0,24.0,40.0,79.0,Bhaktapur,Male,D,8.0
64,,,,,,,D,
65,16.0,51.0,47.0,2.0,Kathmandu,Female,C,5.0
66,24.0,69.0,12.0,26.0,Kathmandu,Female,D,5.0
67,,,,,,,C,
68,,,,,,,C,
